instruction,output
What is the Total Assets of Microsoft in 2023,The Total Assets of Microsoft in 2023 is 411976
What is the Total Liabilities of Microsoft in 2023,The Total Liabilities of Microsoft in 2023 is 205753
What is the Cash Flow from Operating Activities of Microsoft in 2023,The Cash Flow from Operating Activities of Microsoft in 2023 is 87582
What is the Total Revenue Growth Percentage of Microsoft in 2023,The Total Revenue Growth Percentage of Microsoft in 2023 is 6.882
What is the Net Income Growth Percentage of Microsoft in 2023,The Net Income Growth Percentage of Microsoft in 2023 is -0.5183
What is the Total Assets Growth Percentage of Microsoft in 2023,The Total Assets Growth Percentage of Microsoft in 2023 is 12.9196
What is the Total Liabilities Growth Percentage of Microsoft in 2023,The Total Liabilities Growth Percentage of Microsoft in 2023 is 3.7595
What is the Cash Flow from Operating Activities Growth Percentage of Microsoft in 2023,The Cash Flow from Operating Activities Growth Percentage of Microsoft in 2023 is -1.6319
What is the Total Revenue of Tesla in 2021,The Total Revenue of Tesla in 2021 is 53821
What is the Net Income of Tesla in 2021,The Net Income of Tesla in 2021 is 5519
What is the Total Assets of Tesla in 2021,The Total Assets of Tesla in 2021 is 62131
What is the Total Liabilities of Tesla in 2021,The Total Liabilities of Tesla in 2021 is 30548
What is the Cash Flow from Operating Activities of Tesla in 2021,The Cash Flow from Operating Activities of Tesla in 2021 is 11497
What is the Total Revenue Growth Percentage of Tesla in 2021,The Total Revenue Growth Percentage of Tesla in 2021 is 0.0
What is the Net Income Growth Percentage of Tesla in 2021,The Net Income Growth Percentage of Tesla in 2021 is 0.0
What is the Total Assets Growth Percentage of Tesla in 2021,The Total Assets Growth Percentage of Tesla in 2021 is 0.0
What is the Total Liabilities Growth Percentage of Tesla in 2021,The Total Liabilities Growth Percentage of Tesla in 2021 is 0.0
What is the Cash Flow from Operating Activities Growth Percentage of Tesla in 2021,The Cash Flow from Operating Activities Growth Percentage of Tesla in 2021 is 0.0
What is the Total Revenue of Tesla in 2022,The Total Revenue of Tesla in 2022 is 81462
What is the Net Income of Tesla in 2022,The Net Income of Tesla in 2022 is 12556
What is the Total Assets of Tesla in 2022,The Total Assets of Tesla in 2022 is 82338
What is the Total Liabilities of Tesla in 2022,The Total Liabilities of Tesla in 2022 is 36440
What is the Cash Flow from Operating Activities of Tesla in 2022,The Cash Flow from Operating Activities of Tesla in 2022 is 14724
What is the Total Revenue Growth Percentage of Tesla in 2022,The Total Revenue Growth Percentage of Tesla in 2022 is 51.3573
What is the Net Income Growth Percentage of Tesla in 2022,The Net Income Growth Percentage of Tesla in 2022 is 127.505
What is the Total Assets Growth Percentage of Tesla in 2022,The Total Assets Growth Percentage of Tesla in 2022 is 32.5232
What is the Total Liabilities Growth Percentage of Tesla in 2022,The Total Liabilities Growth Percentage of Tesla in 2022 is 19.2877
What is the Cash Flow from Operating Activities Growth Percentage of Tesla in 2022,The Cash Flow from Operating Activities Growth Percentage of Tesla in 2022 is 28.0682
What is the Total Revenue of Tesla in 2023,The Total Revenue of Tesla in 2023 is 96773
What is the Net Income of Tesla in 2023,The Net Income of Tesla in 2023 is 14974
What is the Total Assets of Tesla in 2023,The Total Assets of Tesla in 2023 is 106618
What is the Total Liabilities of Tesla in 2023,The Total Liabilities of Tesla in 2023 is 43009
What is the Cash Flow from Operating Activities of Tesla in 2023,The Cash Flow from Operating Activities of Tesla in 2023 is 13256
What is the Total Revenue Growth Percentage of Tesla in 2023,The Total Revenue Growth Percentage of Tesla in 2023 is 18.7953
What is the Net Income Growth Percentage of Tesla in 2023,The Net Income Growth Percentage of Tesla in 2023 is 19.2577
What is the Total Assets Growth Percentage of Tesla in 2023,The Total Assets Growth Percentage of Tesla in 2023 is 29.4882
What is the Total Liabilities Growth Percentage of Tesla in 2023,The Total Liabilities Growth Percentage of Tesla in 2023 is 18.0269
What is the Cash Flow from Operating Activities Growth Percentage of Tesla in 2023,The Cash Flow from Operating Activities Growth Percentage of Tesla in 2023 is -9.9701
